"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 09 14:42:09 GMT 2023","Tue May 09 14:42:28 GMT 2023","18903","","Telenyx E2E tests","","","","should send massage to became a partner with valid data on https://telnyx.com",""
"passed","Tue May 09 14:42:36 GMT 2023","Tue May 09 14:42:42 GMT 2023","5659","","Telenyx E2E tests","","","","should check Header buttons on https://telnyx.com",""
"passed","Tue May 09 14:40:57 GMT 2023","Tue May 09 14:41:39 GMT 2023","41887","","Telenyx E2E tests","","","","should sing in with invalid data on https://telnyx.com",""
"passed","Tue May 09 14:41:39 GMT 2023","Tue May 09 14:42:01 GMT 2023","21723","","Telenyx E2E tests","","","","should send messege for contact us with valid data on https://telnyx.com",""
"passed","Tue May 09 14:42:42 GMT 2023","Tue May 09 14:43:03 GMT 2023","21493","","Telenyx E2E tests","","","","should Contact Us form via ""Products"" page with positive scenario on https://telnyx.com",""
"passed","Tue May 09 14:42:28 GMT 2023","Tue May 09 14:42:36 GMT 2023","7911","","Telenyx E2E tests","","","","should send massage to became a partner with invalid data https://telnyx.com",""
"passed","Tue May 09 14:42:01 GMT 2023","Tue May 09 14:42:09 GMT 2023","7588","","Telenyx E2E tests","","","","should send messege for contact us with invalid data on  https://telnyx.com",""
"passed","Tue May 09 14:43:24 GMT 2023","Tue May 09 14:43:32 GMT 2023","7840","","Telenyx E2E tests","","","","should Check that ""Communications"", ""Networking"", ""Wireless"", ""Storage"" options are visible on Products pageon https://telnyx.com",""
"passed","Tue May 09 14:43:03 GMT 2023","Tue May 09 14:43:10 GMT 2023","7108","","Telenyx E2E tests","","","","should Verify subtitles in the ""Your one-stop shop for distributed infrastructure."" text and sections on Products page on https://telnyx.com",""
"passed","Tue May 09 14:43:11 GMT 2023","Tue May 09 14:43:24 GMT 2023","13572","","Telenyx E2E tests","","","","should Check that entered value in ""Enter business email"" field on the Main Page appearst in ""Enter business email"" field on Sign Up page on https://telnyx.com",""
